url,unique id,date_scrapped,announce_publication_date,vehicle brand,vehicle type,color,hand,price,city,postal code,seller,seller_name,vehicle release date,mileage,engine capacity [CC],comments
https://www.motoplanete.com/occasion-moto/37642/VERSYS-1000/fiche.html,37642,2021/06/04 - 22h18,05/01/2021,Kawasaki VERSYS 1000 2020,Trail,vert,,16999.0,ST MAXIMIN,60740.0,FURY MOTO,,05/01/2021,476.0,1000.0,"Mot du vendeur : Pack Tourer ,Garantie constructeur jusqu'au 04/01/2023"
https://www.motoplanete.com/occasion-moto/21278/WILD-STAR/fiche.html,21278,2021/06/04 - 22h18,26/02/2003,Yamaha WILD STAR 2003,Custom,argent,,3700.0,PRESSIGNY LES PINS,45290.0,GAM MOTOS,Thierry,26/02/2003,5130.0,1600.0,"Mot du vendeur : YAMAHA 1600 WILD STAR . Moto accidentée en procédure RSV/VEI, vente réservée aux professionnels, Vente possible aux particuliers COMPLET uniquement pour la pièce ou pour la piste, Pour plus d'informations n’hésitez pas nous contacter par téléphone ou par mail gary@gam-motos, fr, Les véhicules accidentés sont vendus dans l'état sans aucune garantie,Notre référence véhicule à rappeler : 60538 Tous nos véhicules sont visibles chez GAM-MOTOS rn7 motteux 45290 Pressigny ou sur notre site BIKE-ECO"
https://www.motoplanete.com/occasion-moto/11392/NIKEN/fiche.html,11392,2021/06/04 - 22h18,20/08/2019,Yamaha NIKEN 2019,Routière & GT,gris,,13490.0,RUAUDIN,72230.0,LE MANS MOTO,Service commercial,20/08/2019,2500.0,847.0,"Mot du vendeur : YAMAHA NIKEN GT du 20/08/2019 , modèle de demonstration en version GT.Contact Benjamin au 0781311208 ou benjamin@lemansmoto.fr ABS,Régulateur de vitesse,Shifter,Version GT,Bulle haute,Selle confort,Suspension réglable,Valises,Disponible à l'essai,Garantie constructeur jusqu'au 20/08/2021"
https://www.motoplanete.com/occasion-moto/39239/R-NineT-PURE/fiche.html,39239,2021/06/04 - 22h18,22/01/2021,BMW R NineT PURE 2021,Roadster,gris,Première main,13990.0,BIEVILLE BEUVILLE,14112.0,GROUPE MARY MOTO,Service commercial,22/01/2021,998.0,1200.0,"Mot du vendeur : ABS Pro, Bridage 35KW (47.5ch), Traction Control, Feu diurne, Feu de route Pro, Mode de pilotage Pro, Poignées chauffantes, Régulateur de vitesse et Alarme antivol, Silencieux Design AkrapovicFinition PRO,1ère main,Compatible Permis A2,Disponible à l'essai,Garantie constructeur jusqu'au 22/01/2024"
https://www.motoplanete.com/occasion-moto/15360/XV-950-BOLT/fiche.html,15360,2021/06/04 - 22h18,09/08/2016,Yamaha XV 950 BOLT 2016,Custom,kaki,Première main,8500.0,LIMOGES,87280.0,POLE MOTO LIMOGES,Service commercial,09/08/2016,2600.0,950.0,"Mot du vendeur : moto yamaha 950 xvs bolt du 09/08/2016 avec 2600 klms 1 ere main ,etat proche du neuf ,depot vente clientfinancement ,assurance et livraison possible dans toute la francesilencieux vance ,filtre a air racing,plaque deportee avec les pieces dorigine exemple de financement avec un apport de 1200 € suivie de 48 mensualitees de 204 € (personnalisable ) un credit vous engage et doit etre rembourse,verifiez vos capacitees de remboursement avant de vous engager contact j francois au 05.55.33.99.96 ABS,1ère main,Disponible à l'essai,Garantie 12 mois // MOTO MOVE LIMOGES // MOTOMOVE // Depuis 1979, concessionnaire SUZUKI DUCATI HUSQVARNA GAS GAS KYMCO CAN AM MASH QUADRO ETC. 9 Rue Pierre de Fermat, 87280 LIMOGES. 05-55-33-44-61.un crédit vous engage , vérifiez vos capacités de remboursement , plus de renseignements en magasin"
https://www.motoplanete.com/occasion-moto/39257/CB-650-F/fiche.html,39257,2021/06/04 - 22h18,13/03/2018,Honda CB 650 F 2018,Roadster,gris,Première main,5590.0,AVIGNON,84000.0,JMS YAM STORE,Service commercial,13/03/2018,19226.0,650.0,"Mot du vendeur : a saisir reprise et financement possible 1 bis rtede morieres 84000 avignon ,1ère main,Garantie 6 mois"
https://www.motoplanete.com/occasion-moto/39690/ZR-7-S/fiche.html,39690,2021/06/04 - 22h18,19/07/2004,Kawasaki ZR-7 S 2004,Roadster,gris,Première main,2790.0,BAYONNE,64100.0,MOTO EXTREME,HUGO,19/07/2004,47000.0,750.0,"Mot du vendeur : Vend Kawasaki ZR-7 S du 19/2004 avec 2790€ la moto est équipéede durite de frein Avia AV et d'un échappement SCORPIONLivraison possible en France métropolitaine. Possibilité de financement, d'assurance et de livraison dans toute la FRANCE avec MotoByCat. Pour plus de renseignements, contactez nous au 0559553761 ou par mail. Assurance sur place,Démarches administratives sur place,Essai sur rendez-vous,Financement & Assurance possibles ,Financement possible,Gravage possible,Livraison possible,Plus de photos sur demande,Prix hors frais d'immatriculation,Prix hors frais de préparation,Transport possible,1ère main,Garantie 3 mois"
https://www.motoplanete.com/occasion-moto/40822/ZZR/fiche.html,40822,2021/06/04 - 22h18,28/04/2009,Kawasaki ZZR 2009,Routière & GT,gris-clair,,8490.0,DARDILLY,69570.0,K69 KAWASAKI-LYON,Sébastien,28/04/2009,20000.0,1400.0,Mot du vendeur : Top Case ENTRETIEN A JOUR K69 / DARDILLY / LYON / kawasaki honda yamaha Boîte de vitesses : Manuelle Energie : Essence Puissance fiscale : 12CV
https://www.motoplanete.com/occasion-moto/32485/SOFTAIL-SLIM/fiche.html,32485,2021/06/04 - 22h18,01/01/2014,Harley-Davidson SOFTAIL SLIM 2014,Custom,gris,,17200.0,BEGLES,33130.0,HARLEY DAVIDSON BORDEAUX,Samuel et Sébastien,01/01/2014,11500.0,1584.0,"Mot du vendeur : Softail Slim. Année 2014. Kit biplace, silencieux Akrapovic, plaque latérale, collections skull. Dépôt vente. Garantie garage 6 mois.ABS,Anti-démarrage,Dépôt-vente,Garantie 6 mois"
https://www.motoplanete.com/occasion-moto/32992/ST3/fiche.html,32992,2021/06/04 - 22h18,05/04/2004,Ducati ST3 2004,Routière & GT,rouge,,2999.0,CHOLET,49300.0,CHOLET MOTOS,Lucien ou Sylvain,05/04/2004,73301.0,992.0,"Mot du vendeur : Moto Ducati ST Modèle : ST3 Coloris : Rouge mise en circulation : 05/04/2004 Kilométrage : 73 301 kmsObservations :-Très bon état -Entretien à jour et régulier -Aucun consommable à prévoir -Entièrement d'origineAccessoires :- Amortisseur sachsPrix tarif : 2 999 €Moto garantie 3 mois moteurReprise, financement et Assurance PossibleVous pouvez retrouver toutes nos occasions sur notre site internet cholet-motos.fr ************************************************** Retrouvez toutes nos occasions sur notre site Cholet-motos.fr ************************************** CHOLET-MOTOS 8 Avenue Francis Bouet 49300 CHOLETConcessionnaire : Suzuki, Kawasaki, Aprilia, Piaggio, Gilera, Vespa et MashMagasin partenaire Moto AxxeHoraires d'ouverture :Du mardi au vendredi 9h00-12H00 ; 14h00-19H00 Le samedi 9H00-12H00 ; 14H00-18H00Téléphone : 02.41.62.24.19 Mail : commercial@cholet-motos.fr ,Disponible à l'essai,Garantie 3 mois"
https://www.motoplanete.com/occasion-moto/42257/MONSTER-821/fiche.html,42257,2021/06/04 - 22h18,01/04/2019,Ducati MONSTER 821 2019,Roadster,rouge,Première main,10500.0,SENS,89100.0,LM SENS,Ludo et Julien,01/04/2019,750.0,821.0,"Mot du vendeur : DUCATI MONSTER 821 - SILENCIEUX TERMIGNONI - 1ERE MAIN,1ère main,Garantie 24 mois LM SensConcessionnaire DUCATI - YAMAHA - HUSQVARNA - BETA- FINANCEMENT possible*- REPRISE possible de votre ancien véhicule**- LIVRAISON partout en France par transporteur spécialisé moto - Horaire d'ouverture du magasin : Lundi au samedi : 9h -- 12h00 / 14h00 -- 18h30- Concessionnaire située au 19 rue des carrières 89100 Sens. Nous sommes à votre disposition pour plus amples informations par téléphone : 03.86.64.31.97 ou par mail : lms@lmsens.com *Sous réserve d'acceptation **Sous réserve d'un passage dans notre atelier du véhicule"
https://www.motoplanete.com/occasion-moto/34872/MULTISTRADA-1200-S/fiche.html,34872,2021/06/04 - 22h18,01/12/2017,Ducati MULTISTRADA 1200 S 2017,Routière & GT,,Première main,15790.0,RIVERY,80136.0,MOTOLAND AMIENS,Nicolas,01/12/2017,1900.0,1200.0,"Mot du vendeur : Covid 19 contactez nicolas par mail à l'adresse nicolas.f@motoland.eu pendant la période de confinement ! état neuve ! contactez nicolas au 0322718588 ABS,Anti-démarrage,Anti-patinage,1ère main,Garantie 12 mois"
https://www.motoplanete.com/occasion-moto/41568/ZZR-1400/fiche.html,41568,2021/06/04 - 22h18,28/06/2016,Kawasaki ZZR 1400 2016,Sportive,argent,,11990.0,ALBI,81000.0,KAWA 81,Florian,28/06/2016,23717.0,1400.0,"Mot du vendeur : ABS, FULL entretien KAWASAKI, OK. options : échappement red serket scorpion carbone possible (à voir). Capot de selle kawasaki. Support de plaque court. Protection carter. kilométrages évolutif. Garantie légale de 6 mois. Financement et assurance possibles. (Reprise possible a voir en concession). PAS D’EXPÉDITION. Affaire à saisir. Visible chez Kawa 81 à Albi. ,Disponible à l'essai,Garantie 6 mois"
https://www.motoplanete.com/occasion-moto/42127/DL-1000-V-STROM/fiche.html,42127,2021/06/04 - 22h18,26/04/2018,Suzuki DL 1000 V-STROM 2018,Trail,blanc,,9990.0,LIMONEST,69760.0,LABEL OCCASION,Service commercial,26/04/2018,12250.0,1000.0,"Mot du vendeur : SUZUKI DL 1000 V-STROM XT !  Véhicule révisé, entretien et consommables a jour, aucun frais a prévoir. Options : Top case et dosseret.  Reprise et financement possibles. Livraison possible en France métropolitaine."
https://www.motoplanete.com/occasion-moto/29049/NORGE-1200/fiche.html,29049,2021/06/04 - 22h18,13/07/2010,Moto-Guzzi NORGE 1200 2010,Routière & GT,gris,,7490.0,NANCY,54000.0,PALMI NEW BIKE,Gilles,13/07/2010,8407.0,1200.0,"Mot du vendeur : Moto Guzzi Norge 1200 4 Valves en très bon état. Entretiens et consommables OK. Top case Givi. Reprise et financement possible, plus de photos sur demande;- Livraison possible partout en France à partir de 150 € chez vous à la maison- Visible chez Palmi New Bike 3 impasse Marcel Brot à Nancy, Concessionnaire YAMAHA depuis 1989, demandezGilles, Jimmy ou FabricePalmi New Bike rachète Cash votre moto sans acheter une autre moto. Nous consulter..Mt07/mt 07/mt/mt09/Mt09/fz/z/Z/er6/hornet/fazer/gsx/monster/cb/cbf/cbr/xmax/tmax/X max/T max/xj/xjr/xj6/z750/z800/z1000/versys/gl/gs/f800/vmax/v max/nmax/N max/R1/r1/R6/r6/R/s1000/rr/RR/zx/zxr/r/gt/gtr/sv/wr/w/yz/cr/rm/sx/kx/xt/street/speed/tiger/trophy/daytona/gladius/suzuki/yamaha/kawasaki/honda/ducati/harley/ktm/triumph/bmw/Indian/victory/Peugeot/piaggio/kymco/beta/A2/a2/rme/wrz/yze/cre/exc/ec/rr,Garantie 6 mois"
https://www.motoplanete.com/occasion-moto/41942/HYPERSTRADA/fiche.html,41942,2021/06/04 - 22h18,13/06/2013,Ducati HYPERSTRADA 2013,Trail,rouge,,5800.0,TOULOUSE,31200.0,YAM SERVICE,Service commercial,13/06/2013,57994.0,821.0,"Mot du vendeur : ,Garantie 6 mois"
https://www.motoplanete.com/occasion-moto/40690/401-VITPILEN/fiche.html,40690,2021/06/04 - 22h18,03/05/2021,Husqvarna 401 VITPILEN 2020,Roadster,gris,,5299.0,LESSAY,50430.0,SPORT MOTOS 50,Christophe ou Maxime,03/05/2021,550.0,373.0,"Mot du vendeur : Modele de demo,Garantie constructeur jusqu'au 03/05/2023"
https://www.motoplanete.com/occasion-moto/41108/R1200RT/fiche.html,41108,2021/06/04 - 22h18,05/09/2014,BMW R1200RT 2014,Routière & GT,gris,,12800.0,MONTAUBAN,82000.0,RED ONE,Olivier,05/09/2014,34685.0,1200.0,Mot du vendeur : BMW  R1200RT 2014  BON ETAT - RAYURES COTE DROIT SILENCIEUX REMUS HOMOLOGUE **DEPOT-VENTE** PAS DE REPRISE*** _Options : SILENCIEUX REMUS HOMOLOGUE
