bike_brand,bike_description,bike_km,bike_model,bike_size,bike_type,bike_year,price,reference,scrap_date,source,uniq_id,url,vendor_city,vendor_country,vendor_name,vendor_type
KAWASAKI,"Kawasaki Z800 E, bridée A2. Entretien des 42 000 kms effectué + pneu arrière neuf. Garantie 3 mois.  Pour plus de renseignement demander Thomas au 0972394899 ou par mail thomas@lemansmoto.fr,47CV,ABS,Clignotants Led,Diabolo,Silencieux Akrapovic,Démarches administratives sur place,Essai sur rendez-vous,Financement & Assurance possibles ,Gravage possible,Livraison possible,Prix hors frais d'immatriculation,Reprise possible,Transport possible,Compatible Permis A2,Garantie 3 mois,47CV,ABS,Clignotants Led,Diabolo,Silencieux Akrapovic,Démarches administratives sur place,Essai sur rendez-vous,Financement & Assurance possibles ,Gravage possible,Livraison possible,Prix hors frais d'immatriculation,Reprise possible,Transport possible,Compatible Permis A2,Garantie 3 mois",39206,Z800 e,800,ROADSTER,2014,5490.0,WT140343,2021-05-30 23:39:47.102208,moto-occasion,moto-occasion-WT140343,http://moto-occasion.motorevue.com/motos/kawasaki/z800-e/WT140343.html,RUAUDIN,FRANCE,"LE MANS MOTO, RUAUDIN(72)",PROFESSIONNEL
SUZUKI,"SUZUKI AN 650 BURGMAN ABS !  Véhicule révisé, entretien et consommables a jour, aucun frais a prévoir. Reprise et financement possibles.,,,,",45700,Burgman 650,650,SCOOTER,2017,4990.0,WT140510,2021-05-30 23:39:49.168323,moto-occasion,moto-occasion-WT140510,http://moto-occasion.motorevue.com/motos/suzuki/burgman-650/WT140510.html,LIMONEST,FRANCE,"LABEL OCCASION, LIMONEST(69)",PROFESSIONNEL
INDIAN,"11329 -  Belle première main. Le moteur '111' 2018 de l'Indian est une pure réussite. Souple, onctueux, sonore comme il le faut mais pas trop, plein et vif à mi régime, c'est un régal en permanence. Elle est bien équipée, confortable, moderne (avec un GPS qui s'active en quelques secondes seulement) et tient bien la route. Cette belle première, vendue neuve et périodiquement entretenue par Shop Moto vous attend.,ABS,Anti-démarrage,Anti-patinage,Indicateur de rapport engagé,Peinture métal,Peinture vernie,Prise 12V,Prise USB,Régulateur de vitesse,Série spéciale,Top case 2 casques,Version GT,Assurance sur place,Démarches administratives sur place,Essai sur rendez-vous,Financement & Assurance possibles ,Financement possible,Gravage possible,Livraison possible,Prix hors frais d'immatriculation,Reprise possible,Transport possible,1ère main,Disponible à l'essai,Garantie constructeur jusqu'au 05/07/2023,ABS,Anti-démarrage,Anti-patinage,Indicateur de rapport engagé,Peinture métal,Peinture vernie,Prise 12V,Prise USB,Régulateur de vitesse,Série spéciale,Top case 2 casques,Version GT,,Assurance sur place,Démarches administratives sur place,Essai sur rendez-vous,Financement & Assurance possibles ,Financement possible,Gravage possible,Livraison possible,Prix hors frais d'immatriculation,Reprise possible,Transport possible,1ère main,Disponible à l'essai,Garantie constructeur jusqu'au 05/07/2023",13165,Chieftain,1811,CUSTOM,2018,24490.0,WT115891,2021-05-30 23:39:51.226538,moto-occasion,moto-occasion-WT115891,http://moto-occasion.motorevue.com/motos/indian/chieftain/WT115891.html,SALON DE PROVENCE,FRANCE,"SHOP MOTO, SALON DE PROVENCE(13)",PROFESSIONNEL
KAWASAKI,"kawasaki w800 bober carbu preparation kawasaki nantes moto unique13000EUR de preparation plus prix de la moto 1 er main 1100kms pour 9990EUR visible chez triumph nantes au 0240163400,,,,",1500,W800,800,COLLECTION,2014,9990.0,WT122264,2021-05-30 23:39:53.289099,moto-occasion,moto-occasion-WT122264,http://moto-occasion.motorevue.com/motos/kawasaki/w800/WT122264.html,ORVAULT,FRANCE,"TRIUMPH NANTES, ORVAULT(44)",PROFESSIONNEL
YAMAHA,"MAJESTY 400 . DOSSERET PASSAGER . TOP CASE GROS VOLUME .  ENTRETIEN A JOUR . AUCUN FRAIS A PREVOIR . CONTACTER MARCO .,,,,",30875,YP Majesty 400,400,SCOOTER,2004,3299.0,WT81920,2021-05-30 23:40:25.659482,moto-occasion,moto-occasion-WT81920,http://moto-occasion.motorevue.com/motos/yamaha/yp-majesty-400/WT81920.html,ROYAN,FRANCE,"GAZON MOTOS, ROYAN(17)",PROFESSIONNEL
PIAGGIO,",,Compatible Permis A2,Disponible à l'essai,Garantie 3 mois,,,,Compatible Permis A2,Disponible à l'essai,Garantie 3 mois",35000,MP3 LT 250,250,SCOOTER,2009,2390.0,WT134672,2021-05-30 23:40:27.780011,moto-occasion,moto-occasion-WT134672,http://moto-occasion.motorevue.com/motos/piaggio/mp3-lt-250/WT134672.html,LE MANS,FRANCE,"LE MANS 2 ROUES, LE MANS(72)",PROFESSIONNEL
TRIUMPH,"TRIUMPH STREET TRIPLE 660 S ETAT PROCHE DU NEUF BRIDABLE POUR PERMIS A2, DATE DE PREMIERE MISE EN CIRCULATION : 04/09/2018, DEUXIEME MAIN, 20 215 KMS.  EQUIPEMENTS :  - ECHAPPEMENT SCORPION,  - SHIFTER MONTEE,  - PROTECTION DE CARTER GB RACING,  - PROTECTION DE RADIATEUR TRIUMPH,  - TAMPONS DE PROTECTION ROUE AVANT,  - RETROVISEURS PERSO,  - POIGNEE RESERVOIR PASSAGER,  - LEVIER DE FREIN ET EMBRAGE REGLABLE,  - CLIGNOTANTS AV/AR.  ENTRETIEN A JOUR RIEN A PREVOIR.  ACTUELLEMENT DEBRIDEE.  REPRISE, FINANCEMENT ET LIVRAISON POSSIBLE DANS TOUTE LA FRANCE.,ABS,Shifter,Compatible Permis A2,Disponible à l'essai,Garantie 6 mois,ABS,Shifter,,,Compatible Permis A2,Disponible à l'essai,Garantie 6 mois",20215,Street Triple,660,ROADSTER,2018,7490.0,WT139359,2021-05-30 23:40:36.662182,moto-occasion,moto-occasion-WT139359,http://moto-occasion.motorevue.com/motos/triumph/street-triple/WT139359.html,NOYELLES SOUS LENS,FRANCE,"MOTOS DELERUE, NOYELLES SOUS LENS(62)",PROFESSIONNEL
SUZUKI,"pots mivv pas de double de clés,Selle confort,Dépôt-vente,,Selle confort,,Dépôt-vente",30130,GSR,600,ROADSTER,2010,3300.0,WT124989,2021-05-30 23:40:37.710935,moto-occasion,moto-occasion-WT124989,http://moto-occasion.motorevue.com/motos/suzuki/gsr/WT124989.html,BLOIS,FRANCE,"BG MOTOS, BLOIS(41)",PROFESSIONNEL
YAMAHA,"YAMAHA X-MAX 125 IRONMAX -ABS -POIGNEES CHAUFFANTES -TOP CASE -TABLIER -BULLE SPORT  #2,,1ère main,Compatible Permis A2,Disponible à l'essai,Garantie 3 mois,,,,1ère main,Compatible Permis A2,Disponible à l'essai,Garantie 3 mois",2500,X-MAX 125,125,SCOOTER,2019,4990.0,WT140642,2021-05-30 23:40:39.767566,moto-occasion,moto-occasion-WT140642,http://moto-occasion.motorevue.com/motos/yamaha/x-max-125/WT140642.html,RENNES,FRANCE,"PLANETE YAM, RENNES(35)",PROFESSIONNEL
YAMAHA,"Ancien véhicule de gendarmerie  Révision à jour, suspensions remise à neuf, aucun frais à prévoir  Options: peinture personnalisée, top case 50L Yamaha, sacoche de réservoir, poignées chauffantes, grille de radiateur, bras oscillant rallongé  Garantie 1  an CIRANO  Assurance, reprise, extension de garantie et  financement possibles,,Garantie 12 mois,,,,Garantie 12 mois",20738,MT-09 Tracer 850,847,ROUTIÈRE,2016,8399.0,WT139974,2021-05-30 23:40:41.823936,moto-occasion,moto-occasion-WT139974,http://moto-occasion.motorevue.com/motos/yamaha/mt-09-tracer-850/WT139974.html,NIMES,FRANCE,"DUBOIS MOTOS, NIMES(30)",PROFESSIONNEL
SUZUKI,"Vend une SUZUKI DL 650 V-STROM ABS A2 avec 3800km évolutifs, du 07/2020 1er main, pour 98.96EUR/36 mois ou 7399EUR. Moto vendu entièrement d'origine, possibilité de l'équiper selon votre choix. Livraison possible en France métropolitaine. Possibilité de financement, d'assurance et de livraison dans toute la FRANCE avec MotoByCat. Pour plus de renseignements, contactez nous au 0559553761 ou par mail.  // SUZUKI DL 1000 1050 XT - KAWASAKI VERSYS - YAMAHA MT07 MT09 TRACER TENERE - HONDA CB500X AFRICATWIN //,,1ère main,Compatible Permis A2,Disponible à l'essai,Garantie constructeur jusqu'au 07/02/2023,,,,1ère main,Compatible Permis A2,Disponible à l'essai,Garantie constructeur jusqu'au 07/02/2023",5200,V-Strom 650,650,TRAIL-SUPERMOTARD,2020,7399.0,WT134520,2021-05-30 23:40:43.883252,moto-occasion,moto-occasion-WT134520,http://moto-occasion.motorevue.com/motos/suzuki/v-strom-650/WT134520.html,BAYONNE,FRANCE,"MOTO EXTREME, BAYONNE(64)",PROFESSIONNEL
SUZUKI,"ETAT NEUF . / GARANTIE 09/2022 + Full options : ) top case alu ) 2 valises latérales ) selle confort .. nous consulter / // MOTOBOX - MARMANDE 05.53.64.42.83 // + Concession  SUZUKI PIAGGIO VESPA ROYAL-ENFIELD YAMAHA Custom Garage Spécialiste Harley-Davidson +,ABS,Anti-démarrage,Prise 12V,Assurance sur place,Démarches administratives sur place,Financement & Assurance possibles ,Financement possible,Gravage possible,Livraison possible,Transport possible,1ère main,Compatible Permis A2,Garantie constructeur jusqu'au 09/09/2022,ABS,Anti-démarrage,Prise 12V,,Assurance sur place,Démarches administratives sur place,Financement & Assurance possibles ,Financement possible,Gravage possible,Livraison possible,Transport possible,1ère main,Compatible Permis A2,Garantie constructeur jusqu'au 09/09/2022",1600,DL 650 V-Strom XT,650,TRAIL-SUPERMOTARD,2020,8900.0,WT134097,2021-05-30 23:40:44.940187,moto-occasion,moto-occasion-WT134097,http://moto-occasion.motorevue.com/motos/suzuki/dl-650-v-strom-xt/WT134097.html,MARMANDE,FRANCE,"MOTOBOX 47, MARMANDE(47)",PROFESSIONNEL
TRIUMPH,",Poignées chauffantes,Top case,Garantie 6 mois,,Poignées chauffantes,Top case,,Garantie 6 mois",33690,Tiger XRx 800,800,TRAIL-SUPERMOTARD,2016,9490.0,WT128818,2021-05-30 23:40:45.998522,moto-occasion,moto-occasion-WT128818,http://moto-occasion.motorevue.com/motos/triumph/tiger-xrx-800/WT128818.html,PONTAULT COMBAULT,FRANCE,"GAUVIN MOTO 2, PONTAULT COMBAULT(77)",PROFESSIONNEL
PIAGGIO,",,Garantie constructeur jusqu'au 09/09/2021,,,,Garantie constructeur jusqu'au 09/09/2021",500,MP3 500 LT,500,SCOOTER,2019,9990.0,WT123944,2021-05-30 23:40:48.053191,moto-occasion,moto-occasion-WT123944,http://moto-occasion.motorevue.com/motos/piaggio/mp3-500-lt/WT123944.html,MERIGNAC,FRANCE,"FACTORY MOTO, MERIGNAC(33)",PROFESSIONNEL
YAMAHA,"4/1 REF: 34103.REVISEE.FACTURES D'ENTRETIENS .BON ETAT .AUCUN FRAIS A PREVOIR.GARANTIE 3 MOIS CHEZ 4EN1.EXTENSION DE GARANTIE POSSIBLE DE 6 /12 ou 24 MOIS LIVRAISON CHEZ VOUS DEVIS NOUS CONSULTER.REPRISE ASSURANCE ET FINANCEMENT POSSIBLE. ******************************************* TOUTES LES PHOTOS SUR NOTRE SITE : 4 E N 1 . F R  ******************************************* 4en1 , 8 rue philippe de Girard 75010 Paris Ouvert du Mardi au Samedi de 9h30 à 13h et de 14h à 18h30 Tél : 01.40.36.40.36 Nous rachetons votre véhicule au meilleur prix ! Modèles équivalents :Honda nc750x Africa twin varadero crf100l  xadv CB500x cb500f cb500x cb650 kawasaki z650 z750 z800 z900 z1000 z1000sx versys versys1000 kle suzuki vstrom gsr gsr750 gsxs yamaha mt09  tracer mt07 mt09 mt10 mt10sp super tenere xt xt660 bmw r1200rt 1200gs k1600 k1200 f800 triumph street triple speed triple tiger 800 KTM R1200rt GS RT K1600 K 1600 GTL  GTR CB Bandit R1200RT Goldwing,ABS,Anti-démarrage,Anti-patinage,Béquille centrale,Peinture métal,Poignées chauffantes,Bulle électrique,Porte bagage,Selle confort,Tampons pare carter,Top case,Valises,Garantie 3 mois,ABS,Anti-démarrage,Anti-patinage,Béquille centrale,Peinture métal,Poignées chauffantes,Bulle électrique,Porte bagage,Selle confort,Tampons pare carter,Top case,Valises,,Garantie 3 mois",45223,FJR A 1300,1300,ROUTIÈRE,2014,9690.0,WT138879,2021-05-30 23:40:50.109536,moto-occasion,moto-occasion-WT138879,http://moto-occasion.motorevue.com/motos/yamaha/fjr-a-1300/WT138879.html,PARIS 10,FRANCE,"4EN1, PARIS 10(75)",PROFESSIONNEL
YAMAHA,"PROFIL MOTOS, votre concessionnaire YAMAHA en Haute Savoie vous propose :  Marque : YAMAHA Modèle : MT07 MT 07 Année : 2015 Kilométrage : 32100KMS Coloris : BLANC  - Garantie 1 ANS - Révisée - Aucun consommable à prévoir  - CRASH-BAR DE PROTECTION -Échappement Werkes USA -Bulle sport noir  - Financement possible - Assurance possible  Plus d'infos : nous contacter au 0450983116 mardi au samedi / 9h-12h 14h-19h Profil Motos 1410 AV des Glières 74300 Cluses,,Compatible Permis A2,Disponible à l'essai,Garantie 12 mois,,,,Compatible Permis A2,Disponible à l'essai,Garantie 12 mois",32000,MT-07 700,700,ROADSTER,2015,5190.0,WT131116,2021-05-30 23:40:51.160459,moto-occasion,moto-occasion-WT131116,http://moto-occasion.motorevue.com/motos/yamaha/mt-07-700/WT131116.html,CLUSES,FRANCE,"PROFIL MOTOS CLUSES, CLUSES(74)",PROFESSIONNEL
INDIAN,"Véhicule de direction. Aucun frais à prévoir. Véhicule garanti 30 mois. Exemple de financement en LOA avec un apport de 30 % suivie de 37 mensualités de 279EUR (personnalisable). Voir condition en magasin. Un crédit vous engage et doit être remboursé. Vérifiez vos capacités de remboursement avant de vous engager. Contact Mickael au 05-55-33-94-74.  // MOTO MOVE CLASSIC // MOTOMOVECLASSIC // concessionnaire INDIAN MOTORCYCLE - ROYAL ENFIELD. 9 rrue Pierre de Fermat. 87280 LIMOGES. 05-55-33-94-74.,ABS,Indicateur de rapport engagé,Prise 12V,Prise USB,Régulateur de vitesse,Garantie constructeur jusqu'au 18/09/2024,ABS,Indicateur de rapport engagé,Prise 12V,Prise USB,Régulateur de vitesse,,,Garantie constructeur jusqu'au 18/09/2024",2080,Roadmaster,1811,CUSTOM,2019,28990.0,WT128975,2021-05-30 23:40:52.215217,moto-occasion,moto-occasion-WT128975,http://moto-occasion.motorevue.com/motos/indian/roadmaster/WT128975.html,LIMOGES,FRANCE,"POLE MOTO LIMOGES, LIMOGES(87)",PROFESSIONNEL
HONDA,"Votre concession Honda, Folie-Méricourt, vous propose ce magnifique CB125R de décembre 2018 et de 1ère main totalisant 13.662 Kms. La moto, très propre, est équipée d'un top-case 39l. permettant de loger un casque. Véhicule en parfait état mécanique, révisée par nos soins il y a 500kms et contrôlée pour la vente. Moto garantie 3 mois sans aucuns frais à prévoir. Vendu avec sa pochette, historique d'entretien et ses 2 clefs . Tarif hors frais d'immatriculation. Nous finançons et assurons votre véhicule sur simple demande. Reprise possible. ************************************************* TOUTES LES PHOTOS SUR  : F O L I E M E R I C O U R T . F R  *************************************************,ABS,Anti-démarrage,Top case,Assurance sur place,Démarches administratives sur place,Financement possible,Gravage possible,Prix hors frais d'immatriculation,Reprise possible,Transport possible,Garantie 3 mois,ABS,Anti-démarrage,Top case,Assurance sur place,Démarches administratives sur place,Financement possible,Gravage possible,Prix hors frais d'immatriculation,Reprise possible,Transport possible,Garantie 3 mois",13662,CB 125,125,ROADSTER,2018,3790.0,WT139877,2021-05-30 23:40:54.269681,moto-occasion,moto-occasion-WT139877,http://moto-occasion.motorevue.com/motos/honda/cb-125/WT139877.html,PARIS 12,FRANCE,"FOLIE MERICOURT, PARIS 12(75)",PROFESSIONNEL
BMW,"Kit de surbaissement Poignées chauffantes RDC Ordinateur de bord Clignotants blancs ASC Top case Pare cylindre,,Disponible à l'essai,Garantie 3 mois,,,,Disponible à l'essai,Garantie 3 mois",78379,R 1200 RT,1200,ROUTIÈRE,2009,6990.0,WT130867,2021-05-30 23:40:56.327082,moto-occasion,moto-occasion-WT130867,http://moto-occasion.motorevue.com/motos/bmw/r-1200-rt/WT130867.html,LA ROCHE SUR YON,FRANCE,"LE BRASSEUR - MOTO CENTER, LA ROCHE SUR YON(85)",PROFESSIONNEL
KAWASAKI,"VEHICULE DE DIRECTION/ POSSIBLE BRIDAGE A2  COMME NEUVE/ LIGNE D'ECHAPPEMENT ARROW NEUVE PLUS BULLE FUMEE + PIECES ORIGINES ORIGINE CONTACTER TECHNO BIKE LE PUY W650  , Z900 , Z650 , KAWASAKI W800 , VULCAN 650 MALGRE LE CONFINEMENT LIVRAISON POSSIBLE,,1ère main,Compatible Permis A2,Garantie constructeur jusqu'au 27/04/2022,,,,1ère main,Compatible Permis A2,Garantie constructeur jusqu'au 27/04/2022",587,VULCAN S 650,650,CUSTOM,2020,7600.0,WT92413,2021-05-30 23:40:58.376768,moto-occasion,moto-occasion-WT92413,http://moto-occasion.motorevue.com/motos/kawasaki/vulcan-s-650/WT92413.html,ST GERMAIN LAPRADE,FRANCE,"TECHNO BIKE 43, ST GERMAIN LAPRADE(43)",PROFESSIONNEL
YAMAHA,"SUPERBE yamaha 125 x max phantom blue , parfait état, rien à prévoir et tout d'origine demandez benjamin 0781311208,,Disponible à l'essai,Garantie 6 mois,,,,Disponible à l'essai,Garantie 6 mois",5200,X-MAX 125,125,SCOOTER,2019,4490.0,WT134423,2021-05-30 23:41:00.429852,moto-occasion,moto-occasion-WT134423,http://moto-occasion.motorevue.com/motos/yamaha/x-max-125/WT134423.html,RUAUDIN,FRANCE,"LE MANS MOTO, RUAUDIN(72)",PROFESSIONNEL
PIAGGIO,"PIAGGIO FLY 125 du 15-06-2010.  Aucun frais à prévoir, Entretien et Consommables à jour.  Détail des Equipements: - Top Case  Pour plus d'infos, Merci de bien vouloir téléphoner car il est très difficile de répondre à tous les Mails.  Financement, Reprise et Assurance Possibles.  Livraison Possible dans toute la France.  Du Mardi au Samedi de 9h à 12h et de 14h à 19h (18h le Samedi)  - CHEZ NOUS LE DEPOT-VENTE EST GRATUIT -  POUR TOUT RENSEIGNEMENT COMPLEMENTAIRE, VOTRE CONTACT: OLIVIER au 05.62.53.54.04,,,,",3895,Fly,125,SCOOTER,2010,1199.0,WT140298,2021-05-30 23:41:01.486433,moto-occasion,moto-occasion-WT140298,http://moto-occasion.motorevue.com/motos/piaggio/fly/WT140298.html,TARBES,FRANCE,"KAWA TARBES - O'4 MOTO, TARBES(65)",PROFESSIONNEL
